Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	KEGG Pathways	Chromosome	Reactome Pathways	WikiPathways	# Protein Pathway Groups	Abundance: F25: Sample	Abundance: F26: Sample	Abundance: F27: Sample	Abundance: F37: Sample	Abundance: F38: Sample	Abundance: F39: Sample	Abundance: F74: Sample	Abundance: F75: Sample	Abundance: F76: Sample	Found in Sample: [S25] F25: Sample	Found in Sample: [S26] F26: Sample	Found in Sample: [S27] F27: Sample	Found in Sample: [S37] F37: Sample	Found in Sample: [S38] F38: Sample	Found in Sample: [S39] F39: Sample	Found in Sample: [S74] F74: Sample	Found in Sample: [S75] F75: Sample	Found in Sample: [S76] F76: Sample	# Protein Groups	Modifications
FALSE	High	Master Protein	Q88M03	30S ribosomal protein S1 OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=rpsA PE=3 SV=1	0	1207.298	84	81	8344	81	576	63.5	4.92	16671.86	81	metabolic process	ribosome	"RNA binding;structural molecule activity"	Pf00575	1043348	PP_1772	rpsA	Ribosome				1	4347592324	5457052854	5333585890	4705889477	2593394575	6221084817	4533184729	4405364008	5753892145	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88DV7	Translation initiation factor IF-2 OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=infB PE=3 SV=1	0	1170.429	77	87	5551	87	846	91.4	6.84	13148.51	87	"metabolic process;regulation of biological process;response to stimulus"	cytoplasm	"catalytic activity;nucleotide binding;RNA binding"	Pf00009, Pf00025, Pf01926, Pf02421, Pf03144, Pf03308, Pf04760, Pf08364, Pf08477, Pf11987	1042494	PP_4712	infB					0	723900595.8	1080682558	1019804991	952713975.1	623837971.2	1179332010	1042999933	971350918.4	1257810096	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88BX4	ATP synthase subunit beta OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=atpD PE=3 SV=1	0	1143.752	98	55	8922	55	458	49.3	5.01	20800.61	55	"metabolic process;transport"	membrane	"catalytic activity;nucleotide binding;transporter activity"	Pf00006, Pf00306, Pf02874	1042005	PP_5413	atpD	"Metabolic pathways; Oxidative phosphorylation"				2	3336753777	3309573260	3214923976	6128983988	4783111503	5891023861	4605420681	4484081797	5159683156	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88KJ1	Trigger factor OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=tig PE=3 SV=2	0	996.765	82	59	7791	59	437	48.5	4.83	13581.05	59	"cell division;metabolic process;transport"	cytoplasm	catalytic activity	Pf00254, Pf05697, Pf05698	1045278		tig					0	4245477789	3646280046	3479742189	3345486095	2656047836	5759023418	4766889042	4003371361	5960284844	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88LM4	Ribonuclease E OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=rne PE=3 SV=1	0	986.034	53	68	4557	68	1091	120.8	5.03	12792.29	68	metabolic process	"cytoplasm;membrane"	"catalytic activity;metal ion binding;RNA binding"	Pf00575, Pf10150	1043177	PP_1905	rne	RNA degradation				1	898338149.3	884905524.2	840601181.1	869793309.4	699095964.8	1241889011	1071542058	1005612103	1348786449	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88QN7	Elongation factor Tu-B OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=tufB PE=3 SV=1	0	984.35	95	53	10865	7	397	43.5	5.38	14675.83	53	metabolic process	cytoplasm	"catalytic activity;nucleotide binding;RNA binding"	Pf00009, Pf03143, Pf03144	"1044196; 32803823"	PP_0452	"tuf; tufB"					0	984877443.8	1430900475	1545576143	1347713389	813406205.7	1715834781	1219830301	1255021075	1600230364	High	High	High	High	High	High	High	High	High	1	Met-loss+Acetyl [N-Term]
FALSE	High	Master Protein	Q88EE6	Agglutination protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=tolC PE=4 SV=1	0	954.704	88	65	5733	65	452	50.4	5.72	12327.71	65	transport	membrane	transporter activity	Pf02321	1042710	PP_4519	tolC					0	2476005393	2258185409	2192411538	5211923632	4902469080	4688829656	2386614117	1763136870	2719102384	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88QP8	Elongation factor Tu-A OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=tufA PE=1 SV=1	0	938.498	91	49	10083	3	397	43.5	5.38	13141.35	49	metabolic process	cytoplasm	"catalytic activity;nucleotide binding;RNA binding"	Pf00009, Pf03143, Pf03144	1044182	PP_0440	"tuf; tufA"					0	181033431.7	286977876.1	308964318.6	375850781.4	227644629.8	335964950.4	200336428.9	188949379.9	263266855.4	High	High	High	High	High	High	High	High	High	1	Met-loss+Acetyl [N-Term]
FALSE	High	Master Protein	Q88P38	Mannose/glucose ABC transporter, glucose-binding periplasmic protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=gtsA PE=4 SV=1	0	904.654	95	64	4352	64	428	45.4	6.3	7251.6	64	transport		transporter activity	Pf01547, Pf13416	1043966	PP_1015	"PP_1015; gtsA"	ABC transporters				1	3699805904	4159527274	3859167505	425984343.7	312621693.5	3157195236	1023560540	997129983.4	1280415282	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88L46	Outer membrane porin F OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=oprF PE=4 SV=1	0	891.588	75	43	9000	43	344	37	4.89	16467.6	43		membrane	metal ion binding	Pf00691, Pf03922, Pf05736, Pf13505	1042726	PP_2089	oprF					0	4914271399	4990798760	4854352096	8204881470	7692593046	9229436225	6750237640	5574261790	8357150136	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88QX8	Malate synthase G OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=glcB PE=3 SV=1	0	861.945	74	54	2985	54	725	78.3	5.99	6598.13	54	metabolic process	cytoplasm	"catalytic activity;metal ion binding"	Pf01274	1044063	PP_0356	glcB	"Microbial metabolism in diverse environments; Glyoxylate and dicarboxylate metabolism; Pyruvate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Carbon metabolism"				6	179965999.7	249119146.1	238447033.7	1865832530	1229738083	1102437481	234639883.7	224482147.2	283395594.8	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88FI0	Isocitrate lyase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=aceA PE=4 SV=1	0	840.632	98	55	3767	55	441	48.6	5.62	6833.15	55	metabolic process		catalytic activity	Pf00463, Pf13714	1042253	PP_4116	aceA	"Carbon metabolism; Metabolic pathways; Glyoxylate and dicarboxylate metabolism; Microbial metabolism in diverse environments; Biosynthesis of secondary metabolites"				5	283791782.6	379330061	376875063.6	14161567265	9407496044	6316650465	468603920.1	405450042.6	574409103.7	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88FB0	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=sucB PE=3 SV=1	0	818.655	71	41	5618	41	407	42.4	5.44	12686.93	41	metabolic process		catalytic activity	Pf00198, Pf00364, Pf02817	1042423	PP_4188	"kgdB; sucB"	"Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Lysine degradation; Citrate cycle (TCA cycle); Biosynthesis of antibiotics; Metabolic pathways"				7	1550491454	1450789373	1454888866	3282710506	2717560496	3297917348	2039770457	1837472734	2913270998	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88BX2	ATP synthase subunit alpha OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=atpA PE=3 SV=1	0	811.213	63	60	5403	60	514	55.3	5.52	10112.22	60	"metabolic process;transport"	membrane	"catalytic activity;nucleotide binding;transporter activity"	Pf00006, Pf00306, Pf02874, Pf09378	1042014	PP_5415	atpA	"Metabolic pathways; Oxidative phosphorylation"				2	2226378740	2549514454	2660920666	3763134884	3294646313	3987005085	2835415508	2496723236	3466859452	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88FA9	2-oxoglutarate decarboxylase, thiamine-requiring E1 subunit OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=sucA PE=4 SV=1	0	779.48	75	73	3336	73	943	106.5	6.57	5663.41	73	metabolic process		catalytic activity	Pf00676, Pf02779	1042413	PP_4189	sucA	"Citrate cycle (TCA cycle); Lysine degradation; Biosynthesis of antibiotics; Metabolic pathways; Tryptophan metabolism; Biosynthesis of secondary metabolites; Carbon metabolism; Microbial metabolism in diverse environments"				8	234781638.4	395157200	370386080.2	1016562524	681963373.3	914627694.8	432472246.7	582005527	478090146.8	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88QZ5	Pyruvate dehydrogenase E1 component OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=aceE PE=4 SV=1	0	775.848	67	74	3483	74	881	99.3	5.82	6206.27	74	metabolic process		catalytic activity	Pf00456	1044044	PP_0339	aceE	"Microbial metabolism in diverse environments; Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Biosynthesis of antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites; Carbon metabolism; Pyruvate metabolism"				8	577114764.4	977391819.9	1024170382	320323300.7	200345688	745612480.1	668843703.3	741955500.4	750292750.8	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88EH6	Acetyl-coenzyme A synthetase 1 OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=acsA1 PE=3 SV=1	0	768.851	71	54	2569	54	653	71.8	6.39	5298.29	54	metabolic process		"catalytic activity;metal ion binding;nucleotide binding"	Pf00501, Pf13193	1042436	PP_4487	"acsA; acsA-I"	"Biosynthesis of secondary metabolites; Glycolysis / Gluconeogenesis; Metabolic pathways; Carbon metabolism; Microbial metabolism in diverse environments; Methane metabolism; Biosynthesis of antibiotics; Propanoate metabolism; Pyruvate metabolism"				9	145642170.3	200501578.8	237800292.2	1730511052	942557263.1	970305048.3	109164163.7	142243441.9	147555348.8	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88CG7	Transcription termination factor Rho OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=rho PE=3 SV=1	0	767.565	93	58	4435	58	419	47	7.94	9249.24	58	"metabolic process;regulation of biological process"		"catalytic activity;nucleotide binding;RNA binding"	Pf00006, Pf07497, Pf07498, Pf08206, Pf13481	1042415	PP_5214	rho	RNA degradation				1	633967821.7	703780103.4	633573877.6	703621765.7	426519453.8	781562223.7	533437502.9	512863146.5	672677070	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88FB1	Dihydrolipoyl dehydrogenase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=lpdG PE=1 SV=1	0	753.979	76	48	5465	48	478	49.9	6.32	12291.74	48	"cellular homeostasis;metabolic process;regulation of biological process"		"catalytic activity;nucleotide binding"	Pf00070, Pf00890, Pf01134, Pf01946, Pf02852, Pf03486, Pf07992, Pf12831	1042391	PP_4187	lpdG	"Biosynthesis of antibiotics; Glycine, serine and threonine metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways; Biosynthesis of secondary metabolites; Glyoxylate and dicarboxylate metabolism; Carbon metabolism; Pyruvate metabolism; Citrate cycle (TCA cycle); Microbial metabolism in diverse environments; Propanoate metabolism; Valine, leucine and isoleucine degradation"				12	2206844565	2498546473	2620771711	3422653476	2226564064	4255803319	3219707726	2723581764	3963193697	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88MH9	Elongation factor Ts OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=tsf PE=3 SV=1	0	746.716	98	48	5208	48	287	30.4	5.21	12518.62	48	metabolic process	cytoplasm	"protein binding;RNA binding"	Pf00627, Pf00889	1045134	PP_1592	tsf					0	2845655667	3347149504	3105647711	3448221506	2395562850	4318880034	3711060253	3397339967	4881926963	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88D27	ATP-dependent protease ATPase subunit HslU OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=hslU PE=3 SV=1	0	743.054	82	58	3985	58	447	50	5.94	8646.56	58	"metabolic process;regulation of biological process"	"cytoplasm;proteasome"	"catalytic activity;nucleotide binding;protein binding"	Pf00004, Pf00158, Pf01078, Pf07724, Pf07728, Pf13191, Pf13207, Pf13238	1043680	PP_5001	hslU					0	666719979.7	595959948.2	687038917.4	588036168.4	402453497.6	1058402335	775566777.1	625504806.6	1054922902	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88EI8	Alanine--tRNA ligase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=alaS PE=3 SV=1	0	737.658	67	62	3463	62	874	94.7	5.47	7034.33	62	metabolic process	cytoplasm	"catalytic activity;metal ion binding;nucleotide binding;RNA binding"	Pf01411, Pf02272, Pf07973	1045889	PP_4474	alaS	Aminoacyl-tRNA biosynthesis				1	425962544.1	644795581.1	636909147.2	518347233.4	316882283.5	658994638.5	574376311.2	601066284.3	645105772.8	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88DW0	Polyribonucleotide nucleotidyltransferase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=pnp PE=3 SV=1	0	728.413	73	57	4210	57	701	75	5.22	8145.34	57	metabolic process	cytoplasm	"catalytic activity;metal ion binding;RNA binding"	Pf00013, Pf00575, Pf01138, Pf03725, Pf03726, Pf13014, Pf13509	1045958	PP_4708	pnp	"RNA degradation; Purine metabolism; Pyrimidine metabolism"				3	469767932.6	798479221.7	782032686.4	771637830.9	383146648.8	836379340.6	696299101	752210389.2	838038700.8	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88N69	Protein translocase subunit SecA OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=secA PE=3 SV=2	0	721.142	64	60	2983	60	911	102.8	5.87	6568.49	60	transport	"cytoplasm;membrane"	"metal ion binding;nucleotide binding"	Pf00270, Pf01043, Pf02810, Pf07516, Pf07517	1041726		secA	"Quorum sensing; Protein export; Bacterial secretion system"				3	212283780.7	209863205.1	256952640.2	427889346.5	356050266.9	384643198	282748774.9	289595628.4	304788163.2	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P14697	Acetoacetyl-CoA reductase OS=Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) OX=381666 GN=phaB PE=1 SV=1	0	702.5	97	37	9278	37	246	26.4	7.25	17252.3	37	metabolic process	cytoplasm	catalytic activity	Pf00106, Pf01370, Pf08659, Pf13561		H16_A1439	"phaB1; H16_RS07145"	"Carbon metabolism; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; Microbial metabolism in diverse environments"	1			4	71068264.5	78124473.08	74278298.82	106769930.5	103524969.5	745307883.7	80528233.25	64967413.17	67602069.41	High	High	High	High	High	High	Peak Found	High	Peak Found	1	
FALSE	High	Master Protein	Q88KZ0	Glyceraldehyde-3-phosphate dehydrogenase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=gapB PE=3 SV=1	0	691.816	85	44	3951	44	487	53	7.64	8280.5	44	metabolic process		"catalytic activity;nucleotide binding"	Pf00044, Pf02800	1045004	PP_2149	"gap-2; gapB"	"Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics; Metabolic pathways; Biosynthesis of amino acids; Glycolysis / Gluconeogenesis"				7	1032393200	1251232729	1304962629	1803725726	1138590292	1749286069	1151461790	1083420059	1445684839	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88DU6	Carbamoyl-phosphate synthase large chain OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=carB PE=3 SV=2	0	689.878	58	69	2909	69	1073	117.3	5.27	5349.62	69	metabolic process		"catalytic activity;metal ion binding;nucleotide binding"	Pf00289, Pf01071, Pf02142, Pf02222, Pf02655, Pf02786, Pf02787, Pf07478, Pf08443, Pf13535, Pf15632	1042416		carB	"Pyrimidine metabolism; Alanine, aspartate and glutamate metabolism; Metabolic pathways"				3	191478867.9	340413380.5	395585043	362780459.4	176894807.7	468399599.4	370428461.7	449104986.6	439282691.7	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88KI6	Peptidylprolyl isomerase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_2304 PE=4 SV=1	0	682.354	78	65	3468	65	623	68.5	5.2	6775.55	65	metabolic process	membrane	catalytic activity	Pf00639, Pf09312, Pf13145, Pf13616, Pf13623, Pf13624	1045287	PP_2304	PP_2304					0	365841180.8	332137293.3	311724953.3	405826503	340841340.4	572249785.8	498953445.7	423924510.3	600177827.8	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88FH2	NADH-quinone oxidoreductase subunit G OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=nuoG PE=3 SV=1	0	665.143	65	56	2571	56	904	97.5	6.05	6316.74	56	metabolic process	membrane	"catalytic activity;metal ion binding"	Pf00111, Pf00384, Pf04879, Pf10588, Pf13510	1042269	PP_4124	nuoG	"Oxidative phosphorylation; Metabolic pathways"				2	213128900.6	335551964	310070901.5	348961969.1	209473269.6	508101123.3	391619868.4	427550625	367834338.6	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88CU5	Malic enzyme B OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=maeB PE=4 SV=1	0	664.346	96	44	3156	44	422	45.1	5.24	6012.57	44	metabolic process		"catalytic activity;metal ion binding;nucleotide binding"	Pf00390, Pf03949	1041799	PP_5085	maeB	"Microbial metabolism in diverse environments; Pyruvate metabolism; Metabolic pathways; Carbon metabolism"				4	1442620394	2157050675	2238300659	754955856.3	566013362.2	1578357812	1182387286	1014156599	1433958932	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
